Model,Accuracy,SPAM Precision,SPAM Recall,SPAM F1,NOT_SPAM F1,Macro F1,Weighted F1
A: Text-Only (IndoRoBERTa),0.9924385633270322,0.9665809768637532,0.9060240963855422,0.9353233830845771,0.9959845559845559,0.9656539695345665,0.9923238919226843
B: MLP-Only (Metadata),0.9842954776792205,0.9093333333333333,0.8216867469879519,0.8632911392405064,0.9916692378895403,0.9274801885650233,0.9839221227318627
C: Concatenation Fusion,0.9936018612767195,0.979328165374677,0.9132530120481928,0.9451371571072319,0.9966028412600371,0.9708699991836345,0.9934970889082246
D: Modality-Aware Gated Fusion,0.9924385633270322,0.9437652811735942,0.9301204819277108,0.9368932038834952,0.9959783449342614,0.9664357744088783,0.9924127882182416
